Sealoch_ID,Name,Comments,OS_Referen,Latitude,Longitude,Admiralty,Admiralt_1,Loch_Lengt,Tidal_Rang,Maximum_De,High_Water,Low_Water,_metres_D,_metres_D_1,_metres,Low_Wate_1,Watershed,Annual_Rai,Runoff__M,Kinetic_En,Mean_Depth,Fresh_Tide,Runoff_Wid,Number_of,Easting,Northing
1,A'CHOIRE, , NM850510,56.60142384,-5.504212892,2814,  1:24600,2.3,3.4,31,1.5,0.9,0.9,0.8,0.7,16.1,40,2500,88.9,0,17.9,44.5,467,0,185000,751000
2,A'CHUMHAINN,Mull. Part of the intertidal area is notincluded on this chart., NM390550,56.61392397,-6.255507327,2392,  1:25000,4.2,3.8,14,3.9,2.9,2.1,1.3,0.9,17.4,57,1800,88.4,0,6,14,299,0,139000,755000
3,AILORT, , NM690790,56.84480812,-5.789455347,2207,  1:50000,8.1,4.3,43,8.2,6.2,5.4,4.2,2.6,69,76,2000,133.7,61.6,11.1,8.8,412,3,169000,779000
4,AINORT,Skye. There are significant sill areas outside this loch., NG570290,57.28674151,-6.03409361,2209,  1:50000,3.9,4.6,45,3.9,3.1,2.8,2.5,1.8,50.6,25,2500,55.1,0.2,16.2,7,167,1,157000,829000
5,AIRDBHAIR, , NC160340,58.25607082,-5.137608857,2502,  1:25150,2.2,4.2,12,0.6,0.4,0.2,0.1,0,1.3,9,1200,8.7,0.1,3.3,8.5,105,1,216000,934000
6,AITH VOE, , HU340590,60.31370006,-1.3864437,3295,  1:25000,4,1.7,55,4.2,4,3.7,3.2,2.7,87.8,35,1100,29.7,0,22.1,8.7,80,0,434000,1159000
7,ALINE, , NM680440,56.53057255,-5.774241646,2390,  1:25000,3.5,3.4,42,2.3,1.5,1.3,1,0.7,16.5,151,1900,249.2,17.6,11,78.7,1257,1,168000,744000
8,ALSH,Mainland. An atypical loch with two mainentrances., NG750260,57.26907231,-5.733421595,2551,  1:91570,13.1,4.6,114,28.2,27.5,27.2,25.7,22.8,1134.3,105,1750,157.4,416.1,41.2,2.5,203,4,175000,826000
9,BALTA HARBOUR, , HP640080,60.74994025,-0.827762507,3293,  1:10000,2.9,1.9,14,1.8,1.5,1.2,0.7,0.2,8.2,15,1100,13,0,5.4,8.4,62,0,464000,1208000
10,BASTA VOE, , HU530940,60.62587334,-1.033300981,3293,  1:10000,5.2,1.9,23,4.5,4.1,3.7,3.2,2.6,52.7,32,1100,27.5,0,12.8,6.8,91,0,453000,1194000
11,BAY, , NG220560,57.50853505,-6.643420545,3601,  1:24000,6.9,4.5,59,16,15.6,15.4,14.5,12.9,364.3,49,1800,75.8,9.6,23.4,2.2,91,1,122000,856000
12,BHROLLUM, , NB310020,57.92586045,-6.545139929,1794, 1:100000,3.7,4.2,27,3,2.6,2.4,2.2,1.6,32.4,17,1800,26.5,0,12.5,4.6,96,0,131000,902000
13,BOISDALE,Outer Hebrides. See also chart 1795. Theinner areas are not well charted., NF800185,57.14543912,-7.292877951,618,  1:10000,4.8,3.8,24,10,8,5,2,1.5,42.2,49,1200,46.5,0,5.3,2.8,68,1,80000,818500
14,BROOM, , NH080960,57.91190099,-5.242608449,2500,  1:29100,14.7,4.5,87,17.6,16.8,16.4,14.9,12.5,458.6,353,1750,529.2,48.7,27.3,14,1240,2,208000,896000
15,BUIE, , NM570210,56.31887558,-5.9312853,2386,  1:25000,4.4,3.5,105,11.6,10.6,9.9,9.3,8.5,258.8,51,2250,102,0,24.4,5.4,111,0,157000,721000
16,BURRA FIRTH, , HP610170,60.83119636,-0.879971221,3282,  1:75000,3.7,2,25,2.8,2.6,2.4,2.1,2,39,39,1150,35.2,0,15,13.3,132,0,461000,1217000
17,BUSTA VOE, , HU340650,60.36756893,-1.385432752,3295,  1:25000,3,1.7,39,3.2,3.1,2.9,2.5,2.1,51.6,12,1100,10.1,0,16.8,3.9,27,0,434000,1165000
18,A' CHAIM BHAIN, , NC170350,58.265456,-5.121384271,2502,  1:25150,14.9,4.2,108,16.4,15.6,15.2,13.9,11.9,440.9,174,1750,260.3,804.2,28.3,7.9,664,6,217000,935000
19,CAMPBELTOWN, , NR740200,55.42163804,-5.572760507,1864,  1:12500,3.9,2.3,35,4.4,3.6,3,2.7,2.3,45.7,13,1200,12.5,0,12.7,2.8,33,1,174000,620000
20,CAOLISPORT, , NR720710,55.87803035,-5.646607933,2396,  1:25000,8.3,0.9,18,14.5,12.5,11.8,10.7,8.5,146.1,108,1500,135,0,11.7,22.7,227,0,172000,671000
21,CARLOWAY, , NB170410,58.26624864,-6.827723559,3422,  1:10600,3,3.6,17,0.9,0.8,0.7,0.7,0.3,7.1,45,1200,42.8,0,9.2,29,420,0,117000,941000
22,CARRON, , NG810340,57.34370211,-5.641230725,2209,  1:50000,26.7,4.7,109,26.7,23.1,19,15.2,12,576.4,292,2000,510.8,861.3,25,8.9,1501,4,181000,834000
23,CAT FIRTH, , HU440510,60.24091963,-1.207201072,3057,  1:50000,3,1.8,29,2.8,2.4,1.9,1.5,1.2,25.1,18,1100,15,0,10.6,6.6,48,0,444000,1151000
24,CLAIDH, , NB270010,57.91447671,-6.611301222,1794, 1:100000,6.7,4.2,47,5,4.5,4.2,4.1,4,117.4,26,1800,40.6,0.2,26.3,4.2,158,1,127000,901000
25,COLLA FIRTH, , HU440700,60.41149809,-1.203058174,3295,  1:25000,2.4,1.8,34,1.1,1,0.9,0.8,0.5,12.7,7,1100,5.8,0,12.6,6.2,36,0,444000,1170000
26,CRAIGNISH, , NR780980,56.1229457,-5.573200523,2326,  1:25000,8.8,2.1,59,19.5,18,16.5,16.1,14.3,276.4,73,1750,109.1,0,15.4,5.7,140,2,178000,698000
27,CRERAN, , NM900430,56.53194795,-5.416441507,2814,  1:24600,12.8,3.3,49,15.1,13.3,12.2,10.7,8,177.6,164,2000,286.3,1187.5,13.4,12.5,707,4,190000,743000
28,DALES VOE NORTH MAINLAND, , HU440710,60.42047578,-1.202838731,3295,  1:25000,5.1,1.8,36,2.9,2.7,2.5,2.2,1.7,41,10,1150,9.4,0,15.1,3.8,47,0,444000,1171000
29,DALES VOE SOUTH MAINLAND, , HU450450,60.18694304,-1.190470808,3057,  1:50000,5,1.8,37,3.3,3,2.6,2.2,1.9,47,15,1150,13.4,0,15.8,4.9,59,0,445000,1145000
30,DON, , NM740310,56.41694455,-5.665636306,2387,  1:25000,3.4,3.5,8,2,0.4,0,0,0,0.4,22,1900,36.6,0.5,1,17.8,284,2,174000,731000
31,DUGHAILL, , NC180520,58.41832869,-5.117784233,2503,  1:24360,2.5,4.2,48,2.1,2,1.9,1.8,1.6,48.3,3,1200,3.1,0,24.6,0.7,11,1,218000,952000
32,DUICH, , NG880250,57.26632013,-5.517428506,2541,  1:25000,8.3,4.6,115,12,11.6,11.4,10.4,8.6,512.2,185,2250,369.6,58.7,44.2,13.9,713,2,188000,825000
33,DUNVEGAN, , NG180560,57.50606355,-6.709952633,3601,  1:24000,10.4,4.5,119,25.5,24.7,24.3,22.2,16.4,1316.2,94,1700,136.6,0,53.4,2.5,155,0,118000,856000
34,EISHORT, , NG590110,57.12650257,-5.983555898,2208,  1:50000,5.2,4.3,35,3.3,2.3,1.8,1.5,0.9,21,74,1850,117.9,6.8,9.2,20.1,603,2,159000,811000
