Sealoch_ID,SILLNO,LOCH,Length__m_,High_Water_Width__m_,Low_Water_Width__m_,Max_Depth__m_,Mean_Depth__m_,Cross_Section_Area__m²_,HW_Upstream_Area__km²_,LW_Upstream_Area__km²_,Mean_Current__cm_s_,Basin_Depth__m_,Comments,Label,Shape_Length
3,1,Ailort,2400,500,200,4,2,400,4.599999905,2.799999952,37,14,,Ailort (Sill 1),275.3592835
3,2,Ailort,400,500,250,5,2,600,3.200000048,1.700000048,21,23,,Ailort (Sill 2),524.4590051
3,3,Ailort,200,600,400,11,5,2000,2.900000095,1.5,10,43,,Ailort (Sill 3),661.0070643
4,1,Ainort,650,1520,1500,25,17,26000,4.099999905,3.299999952,2,45,,Ainort (Sill 1),1357.768169
5,1,Airdbhair,250,170,150,2,1,180,0.400000006,0.300000012,7,12,,Airdbhair (Sill 1),142.8906298
7,1,Aline,700,170,150,3,1,200,2.299999952,1.5,39,42,,Aline (Sill 1),179.6561725
8,1,Alsh,920,2460,2420,16,5,12600,28.2,27.5,90,24,,Alsh (Sill 1),1733.024655
8,2,Alsh,370,1640,1600,16,8,12400,25.9,25.2,84,112,,Alsh (Sill 2),754.9575537
8,3,Alsh,1280,750,730,16,7,5300,16.70000076,16.29999924,39,51,,Alsh (Sill 3),581.9417096
8,4,Alsh,550,200,180,5,4,800,,,,31,,Alsh (Sill 4),1605.514616
11,1,Bay,1944,2640,2328,26,11,26000,16,15.60000038,9,51,,Bay (Sill 1),4409.062362
13,1,Boisdale,330,,150,3,1,200,,,,11,,Boisdale (Sill 1),158.3061958
14,1,Broom,410,1360,1340,13,10,14000,8.5,8.100000381,8,27,,Broom (Sill 1),511.1182282
14,2,Broom,1050,600,580,16,9,5000,7.5,7.099999905,19,51,,Broom (Sill 2),1295.485891
18,1,Cairnbawn,580,1400,1380,33,25,35000,16.89999962,16.10000038,8,68,,Cairnbawn (Sill 1),1285.159635
18,2,Cairnbawn,1330,850,830,42,18,15000,14.30000019,13.60000038,14,108,,Cairnbawn (Sill 2),720.6380222
18,3,Cairnbawn,180,220,200,1,1,150,0.200000003,0.200000003,4,13,,Cairnbawn (Sill 3),239.813117
18,4,Cairnbawn,1730,150,130,24,12,1500,8.699999809,8.300000191,76,48,,Cairnbawn (Sill 4),133.5024146
18,5,Cairnbawn,700,520,500,20,14,7000,4.5,4.300000191,9,51,,Cairnbawn (Sill 5),535.3911547
18,6,Cairnbawn,1330,850,830,5,0,400,0.800000012,0.800000012,4,26,,Cairnbawn (Sill 6),265.6852883
19,1,Campbeltown,850,1300,560,14,6,3500,,,,22,,Campbeltown (Sill 1),663.5699025
22,1,Carron,200,2320,2300,18,7,17000,26.70000076,23.10000038,19,49,,Carron (Sill 1),2376.662191
22,2,Carron,550,2820,2800,7,3,7850,20.29999924,17.60000038,19,29,,Carron (Sill 2),2641.732689
22,3,Carron,1350,570,550,11,7,3800,16.60000038,14.39999962,50,109,,Carron (Sill 3),593.7911973
22,4,Carron,250,1500,900,4,,,,,,9,,Carron (Sill 4),447.6796978
