Year,Month,Day,Daynumber,Tiree,Stornoway,Lerwick
0,0,0,0,56.5,58.2,60.1
0,0,0,0,-6.9,-6.3,-1.2
1970,1,1,1,9.5,7.5,10
1970,1,2,2,9.1,7.1,8.4
1970,1,3,3,10.8,8.4,9.9
1970,1,4,4,9.2,6.9,8.9
1970,1,5,5,8.6,6.7,8.5
1970,1,6,6,8.8,6.5,8.2
1970,1,7,7,9.3,6.9,8.2
1970,1,8,8,9.6,7.3,8.8
1970,1,9,9,8.8,6.8,9.3
1970,1,10,10,9.3,7.6,9.6
1970,1,11,11,9.4,7.7,9.5
1970,1,12,12,9.6,7.3,9.2
1970,1,13,13,9.6,7.6,9.4
1970,1,14,14,10.7,8.4,9.2
1970,1,15,15,9.3,7.5,9.5
1970,1,16,16,8.8,6.9,8.5
1970,1,17,17,9.2,7.3,9.1
1970,1,18,18,10.5,8.7,9.9
1970,1,19,19,10.2,7.7,9.9
1970,1,20,20,9.8,7.6,9.6
1970,1,21,21,10.1,8.5,10.8
1970,1,22,22,9.7,8.1,10.4
1970,1,23,23,10,8.4,9.2
1970,1,24,24,8.9,7.1,8.7
1970,1,25,25,8,6.6,8
1970,1,26,26,7.3,6,7.8
1970,1,27,27,8,6.2,7
1970,1,28,28,9.2,7.2,8.1
1970,1,29,29,8.7,6.9,8.8
1970,1,30,30,8.3,6.6,8.6
1970,1,31,31,8.4,6.7,8
1970,2,1,32,9.4,7.4,8.9
1970,2,2,33,9.2,7.4,9.7
1970,2,3,34,9.7,8,9.2
1970,2,4,35,9.3,7.9,9.6
1970,2,5,36,8.8,7.6,8.9
1970,2,6,37,10,7.9,9.1
1970,2,7,38,8.6,6.7,8.8
1970,2,8,39,8.5,6.4,7.6
1970,2,9,40,8.8,6.4,7.7
1970,2,10,41,9,6.9,7.8
1970,2,11,42,8.7,6.5,7.7
1970,2,12,43,8.8,6.6,7.3
1970,2,13,44,8.6,7,8.2
1970,2,14,45,7.4,6.2,7.2
1970,2,15,46,8.2,6.2,7.6
1970,2,16,47,8.8,6.9,8
1970,2,17,48,8.6,6.7,8
1970,2,18,49,8.7,6.7,9.1
1970,2,19,50,8.8,7.1,9.4
1970,2,20,51,9.2,7,9.6
1970,2,21,52,8.9,7.1,9.1
1970,2,22,53,9.9,8.3,8.8
1970,2,23,54,8.9,7.5,9.4
1970,2,24,55,8.1,6.1,7.9
1970,2,25,56,8.3,6.2,7.9
1970,2,26,57,8.6,5.8,8.4
1970,2,27,58,9.9,7.4,8.9
1970,2,28,59,9.3,7.1,10.3
1970,3,1,60,8.1,6.2,8.7
1970,3,2,61,9,6.8,8
1970,3,3,62,8.4,6.8,9.2
1970,3,4,63,8.8,8.1,9.4
1970,3,5,64,8.9,7.6,8.7
1970,3,6,65,9.2,7.4,9.2
1970,3,7,66,8.3,6.8,7.9
1970,3,8,67,8.4,7.2,8.5
1970,3,9,68,8,6.4,8.2
1970,3,10,69,8.9,6.8,8.2
1970,3,11,70,9,7.5,9.9
1970,3,12,71,7.8,6,8.3
1970,3,13,72,7.7,5.9,7.4
1970,3,14,73,7.7,6.1,7.7
1970,3,15,74,8.4,6.6,8.2
