Year,Month,Day,Day Number,Dunstaffnage,Barcaldine,Inverawe,Weisdale,Lerwick
    0.0,    0.0,    0.0,    0.0,   56.5,   56.5,   56.4,   60.3,   60.1
    0.0,    0.0,    0.0,    0.0,   -5.4,   -5.3,   -5.2,   -1.3,   -1.2
 1970.0,    1.0,    1.0,    1.0,   35.4,   22.6,   26.6,    7.6,    6.9
 1970.0,    1.0,    2.0,    2.0,    7.8,   10.1,   11.7,   12.1,    6.9
 1970.0,    1.0,    3.0,    3.0,   11.2,   10.7,   11.5,    5.5,    6.0
 1970.0,    1.0,    4.0,    4.0,    6.7,    8.4,    7.7,    6.5,    7.7
 1970.0,    1.0,    5.0,    5.0,    8.8,    9.1,   10.7,    1.9,    4.8
 1970.0,    1.0,    6.0,    6.0,    5.0,    5.2,    5.7,    6.2,    6.4
 1970.0,    1.0,    7.0,    7.0,    6.9,    5.9,    6.7,    5.2,    5.3
 1970.0,    1.0,    8.0,    8.0,    4.5,    4.9,    6.3,    1.8,    3.2
 1970.0,    1.0,    9.0,    9.0,    9.4,    7.7,   10.5,    4.2,    3.6
 1970.0,    1.0,   10.0,   10.0,    5.7,    6.0,    7.6,    6.3,    4.1
 1970.0,    1.0,   11.0,   11.0,    6.6,    5.4,    5.6,    4.3,    3.0
 1970.0,    1.0,   12.0,   12.0,    7.6,    9.6,    8.6,    5.7,    4.1
 1970.0,    1.0,   13.0,   13.0,    6.0,    7.0,   10.3,    3.0,    2.7
 1970.0,    1.0,   14.0,   14.0,    9.8,    6.9,    8.1,    3.5,    5.6
 1970.0,    1.0,   15.0,   15.0,    7.2,    7.9,    7.6,    5.1,    5.9
 1970.0,    1.0,   16.0,   16.0,    5.2,    5.6,    8.9,    4.3,    5.0
 1970.0,    1.0,   17.0,   17.0,    5.6,    7.6,    7.6,    4.3,    2.0
 1970.0,    1.0,   18.0,   18.0,    4.9,    5.8,    6.9,    4.6,    3.4
 1970.0,    1.0,   19.0,   19.0,   11.0,   10.1,    7.6,    8.7,    3.7
 1970.0,    1.0,   20.0,   20.0,    8.0,    9.9,   13.2,   10.3,    5.0
 1970.0,    1.0,   21.0,   21.0,    5.1,    7.1,    6.8,    6.5,    5.9
 1970.0,    1.0,   22.0,   22.0,   11.4,    7.7,    7.9,    6.3,    8.9
 1970.0,    1.0,   23.0,   23.0,    6.2,    6.0,    6.7,    1.7,    2.5
 1970.0,    1.0,   24.0,   24.0,    9.2,    6.9,    5.2,    6.3,    4.8
 1970.0,    1.0,   25.0,   25.0,    4.8,    7.4,    5.0,    5.5,    6.1
 1970.0,    1.0,   26.0,   26.0,    4.2,    6.1,    5.6,    2.2,    5.3
 1970.0,    1.0,   27.0,   27.0,    4.6,    4.4,    5.2,    1.5,    5.1
 1970.0,    1.0,   28.0,   28.0,    5.4,    6.0,    6.1,    3.8,    4.8
 1970.0,    1.0,   29.0,   29.0,    7.1,    5.1,    5.9,    4.7,    6.0
 1970.0,    1.0,   30.0,   30.0,    5.2,    4.8,    6.2,    0.4,    3.4
 1970.0,    1.0,   31.0,   31.0,    4.2,    5.1,    6.2,    1.2,    5.1
 1970.0,    2.0,    1.0,   32.0,   33.5,    7.2,   20.9,    2.5,   12.7
 1970.0,    2.0,    2.0,   33.0,    4.6,    6.5,    6.4,    4.0,    4.7
 1970.0,    2.0,    3.0,   34.0,    6.1,    7.4,    7.3,    3.6,    3.5
 1970.0,    2.0,    4.0,   35.0,    5.1,    7.1,    6.0,    7.7,   10.6
 1970.0,    2.0,    5.0,   36.0,    4.6,    5.6,    5.7,    3.0,    6.9
 1970.0,    2.0,    6.0,   37.0,    7.9,    8.6,    7.7,    9.6,    7.6
 1970.0,    2.0,    7.0,   38.0,    5.3,    7.6,    8.2,    8.8,    8.1
 1970.0,    2.0,    8.0,   39.0,    6.7,    5.2,    6.0,   10.7,    7.1
 1970.0,    2.0,    9.0,   40.0,    8.2,    6.0,    6.9,    1.8,    5.4
 1970.0,    2.0,   10.0,   41.0,    5.8,    6.2,    7.7,    7.0,    4.7
 1970.0,    2.0,   11.0,   42.0,    3.1,    5.8,    6.9,    2.9,    3.8
 1970.0,    2.0,   12.0,   43.0,    5.2,    8.5,    8.9,    1.1,    3.9
 1970.0,    2.0,   13.0,   44.0,    8.4,    5.1,    4.9,    2.3,    4.0
 1970.0,    2.0,   14.0,   45.0,    3.9,    4.4,    4.0,    1.2,    2.7
 1970.0,    2.0,   15.0,   46.0,    8.5,    7.1,    6.4,    2.5,    3.0
 1970.0,    2.0,   16.0,   47.0,    2.9,    4.0,    5.1,    0.3,    3.8
 1970.0,    2.0,   17.0,   48.0,    3.1,    3.4,    3.6,    1.9,    2.9
 1970.0,    2.0,   18.0,   49.0,    3.6,    6.7,    5.9,    2.1,    1.8
 1970.0,    2.0,   19.0,   50.0,    4.3,    6.2,    5.0,    1.6,    3.1
 1970.0,    2.0,   20.0,   51.0,    5.6,    5.2,    5.2,    0.2,    3.0
 1970.0,    2.0,   21.0,   52.0,    2.7,    4.8,    3.8,    1.5,    1.4
 1970.0,    2.0,   22.0,   53.0,    6.8,    5.1,    5.7,    0.5,    3.1
 1970.0,    2.0,   23.0,   54.0,    4.7,    5.6,    5.3,    0.3,    1.9
 1970.0,    2.0,   24.0,   55.0,    4.3,    5.5,    4.0,    1.5,    4.1
 1970.0,    2.0,   25.0,   56.0,    3.5,    4.2,    3.9,    0.2,    4.2
 1970.0,    2.0,   26.0,   57.0,    3.9,    5.2,    4.4,    0.9,    4.2
 1970.0,    2.0,   27.0,   58.0,    6.5,    7.1,    5.8,    3.5,    7.3
 1970.0,    2.0,   28.0,   59.0,    3.7,    5.0,    5.3,    2.8,    5.2
 1970.0,    3.0,    1.0,   60.0,   18.9,    6.3,    9.0,    3.1,    3.2
 1970.0,    3.0,    2.0,   61.0,    5.8,    7.6,    5.9,    2.4,    3.5
