Longitude  , Latitude, Year, Month, Day, Depth, Temperature, Salinity, Speed_of_Sound, Cell_No
-5.25,55.00,0.00,1.00,15.00,0.00,7.98,33.76,1480.90,1.00
-5.25,55.00,0.00,1.00,15.00,10.00,8.02,33.81,1481.20,1.00
-5.25,55.00,0.00,1.00,15.00,20.00,8.06,33.85,1481.60,1.00
-5.25,55.00,0.00,1.00,15.00,30.00,8.09,33.93,1482.00,1.00
-5.25,55.00,0.00,1.00,15.00,50.00,8.14,33.96,1482.50,1.00
-5.25,55.00,0.00,1.00,15.00,75.00,8.16,33.99,1483.10,1.00
-5.25,55.00,0.00,1.00,15.00,98.00,8.17,34.01,1483.50,1.00
-5.50,55.00,0.00,1.00,15.00,0.00,8.22,33.89,1481.90,2.00
-5.50,55.00,0.00,1.00,15.00,10.00,8.22,33.93,1482.10,2.00
-5.50,55.00,0.00,1.00,15.00,20.00,8.25,33.95,1482.40,2.00
-5.50,55.00,0.00,1.00,15.00,30.00,8.27,34.02,1482.80,2.00
-5.50,55.00,0.00,1.00,15.00,50.00,8.31,34.03,1483.30,2.00
-5.50,55.00,0.00,1.00,15.00,75.00,8.33,34.06,1483.80,2.00
-5.50,55.00,0.00,1.00,15.00,100.00,8.41,34.10,1484.50,2.00
-5.50,55.00,0.00,1.00,15.00,125.00,8.42,34.10,1485.00,2.00
-5.50,55.00,0.00,1.00,15.00,150.00,8.42,34.11,1485.40,2.00
-5.50,55.00,0.00,1.00,15.00,161.00,8.42,34.11,1485.60,2.00
-5.75,55.00,0.00,1.00,15.00,0.00,8.30,33.99,1482.30,3.00
-5.75,55.00,0.00,1.00,15.00,10.00,8.34,34.02,1482.70,3.00
-5.75,55.00,0.00,1.00,15.00,20.00,8.35,34.03,1482.90,3.00
-5.75,55.00,0.00,1.00,15.00,30.00,8.37,34.07,1483.20,3.00
-5.75,55.00,0.00,1.00,15.00,50.00,8.39,34.08,1483.60,3.00
-5.75,55.00,0.00,1.00,15.00,75.00,8.41,34.11,1484.10,3.00
-5.75,55.00,0.00,1.00,15.00,100.00,8.43,34.12,1484.70,3.00
-5.75,55.00,0.00,1.00,15.00,125.00,8.46,34.13,1485.20,3.00
-5.75,55.00,0.00,1.00,15.00,150.00,8.47,34.15,1485.70,3.00
-5.75,55.00,0.00,1.00,15.00,158.00,8.49,34.15,1485.90,3.00
-5.00,55.00,0.00,1.00,15.00,0.00,7.78,33.65,1480.00,4.00
-5.00,55.00,0.00,1.00,15.00,10.00,7.82,33.70,1480.30,4.00
-5.00,55.00,0.00,1.00,15.00,12.00,7.83,33.70,1480.40,4.00
-6.00,55.00,0.00,1.00,15.00,0.00,8.35,34.06,1482.60,5.00
-6.00,55.00,0.00,1.00,15.00,10.00,8.38,34.08,1482.90,5.00
-6.00,55.00,0.00,1.00,15.00,20.00,8.39,34.09,1483.10,5.00
-6.00,55.00,0.00,1.00,15.00,30.00,8.41,34.11,1483.40,5.00
-6.00,55.00,0.00,1.00,15.00,50.00,8.42,34.11,1483.80,5.00
-6.00,55.00,0.00,1.00,15.00,75.00,8.43,34.14,1484.30,5.00
-6.00,55.00,0.00,1.00,15.00,95.00,8.43,34.17,1484.60,5.00
-7.25,55.00,0.00,1.00,15.00,0.00,9.21,34.95,1486.90,6.00
-7.25,55.00,0.00,1.00,15.00,4.00,9.20,34.95,1486.90,6.00
-7.50,55.00,0.00,1.00,15.00,0.00,9.29,35.01,1487.30,7.00
-7.50,55.00,0.00,1.00,15.00,4.00,9.28,35.01,1487.30,7.00
-7.00,55.00,0.00,1.00,15.00,0.00,9.08,34.87,1486.30,8.00
-7.00,55.00,0.00,1.00,15.00,4.00,9.06,34.87,1486.30,8.00
-8.25,55.00,0.00,1.00,15.00,0.00,9.25,35.20,1487.30,9.00
-8.25,55.00,0.00,1.00,15.00,4.00,9.24,35.20,1487.40,9.00
-8.50,55.00,0.00,1.00,15.00,0.00,9.26,35.21,1487.40,10.00
-8.50,55.00,0.00,1.00,15.00,10.00,9.24,35.22,1487.50,10.00
-8.50,55.00,0.00,1.00,15.00,20.00,9.24,35.23,1487.70,10.00
-8.50,55.00,0.00,1.00,15.00,30.00,9.24,35.23,1487.80,10.00
-8.50,55.00,0.00,1.00,15.00,35.00,9.24,35.23,1487.90,10.00
-8.75,55.00,0.00,1.00,15.00,0.00,9.30,35.23,1487.60,11.00
-8.75,55.00,0.00,1.00,15.00,10.00,9.28,35.25,1487.70,11.00
-8.75,55.00,0.00,1.00,15.00,20.00,9.28,35.25,1487.90,11.00
-8.75,55.00,0.00,1.00,15.00,30.00,9.28,35.26,1488.00,11.00
-8.75,55.00,0.00,1.00,15.00,50.00,9.27,35.26,1488.30,11.00
-8.75,55.00,0.00,1.00,15.00,74.00,9.25,35.26,1488.70,11.00
-9.00,55.00,0.00,1.00,15.00,0.00,9.45,35.28,1488.20,12.00
-9.00,55.00,0.00,1.00,15.00,10.00,9.45,35.28,1488.30,12.00
-9.00,55.00,0.00,1.00,15.00,20.00,9.45,35.28,1488.50,12.00
-9.00,55.00,0.00,1.00,15.00,30.00,9.45,35.28,1488.70,12.00
-9.00,55.00,0.00,1.00,15.00,50.00,9.45,35.28,1489.00,12.00
-9.00,55.00,0.00,1.00,15.00,75.00,9.45,35.28,1489.40,12.00
-9.00,55.00,0.00,1.00,15.00,98.00,9.45,35.28,1489.80,12.00
-5.25,55.25,0.00,1.00,15.00,0.00,7.80,33.69,1480.10,13.00
-5.25,55.25,0.00,1.00,15.00,10.00,7.83,33.75,1480.40,13.00
